text,Target
"To all @RevolutApp users, grab your $SHIB now before we go to the moon. Last chance 🚀🚀🚀🚀🚀 https://t.co/NH5ovmWYrM",1
@GossipShib @RevolutApp @RobinhoodApp ShibArmy Never Sleeps LFG https://t.co/mBZCqtlm9w,1
@monzo I think I’m a bit late to the party… https://t.co/Lm6IpxKAnb,0
@GossipShib @RevolutApp Now i can add to my bag so easyyttt😍😍😍😍😍😍😍 @RevolutApp https://t.co/lvTuKdShag,1
@HSBC_UK This is totally unbelievable two hours forty mins then cut off I need help this so stressful for something that’s important. HSBC you have failed pull your finger out!!!! How do I get help from my Bank 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️ https://t.co/lJH00WOCQR,0
@DuncanGray @RevolutApp Did any of the free #SHIB promotions pan out?,0
@HSBC_UK HSBC came bottom in a Which survey for accessibility for Disabled people. Being forced to go into the bank and beg for your own money or permission to spend it on something you want is a disgrace. https://t.co/DQuCavVhV8,0
@DavidDo28846484 @monzo No one falls for this shit.,0
"@WaqasMunami @shibainuart @RevolutApp There is a lot to burn, it is a very daunting task. NASA didn't sign a few papers and put people on the moon in a year. It took a lot of effort from a lot of different people and a lot of tests. 
If we had the current capability to burn Trillions, SHIB wouldn't be affordable.",0
@monzo Miles away... Was there for the original blow up. Proud customer since. Great bank. https://t.co/bY246vp9h2,1
@Baddiel @BofA_Help @BankofAmerica @HSBC_UK Monetise your mock-jewish victimhood again. Cancel it out. https://t.co/rTYi9tqn66,0
"@shibainuart @RevolutApp Sharks gorge themselves thanks they invest millions and we lose ourselves. 
And if we rebalance this balance of power, and if all together by acting as one we change all that.
Add ME ❤️ RT Tag Max Friend Send $ 10 in BTC each month 3KUtEcFwCKY1RU175TSH6VqND36bGPmw38.",0
"Are you aware of the latest phishing attack targeting @monzo users? 🤨

An unknown source is sending SMS messages to the bank users asking them to reactivate their session and verify their account through a provided link. 

https://t.co/9JjeOWAjm9

#monzo #phishing #cybersecurity",0
"Surprise
no sign of any interest rate increases from @HSBC_UK on savings but they are damned fast to raise c/card interest rates!
I guess bankers bonuses hv to be found from somewhere!
Very soon these corporate scammers will go the way of those using covid to excuse crap service https://t.co/ZzK6KNRYhN",0
"@LBGplc A great pity your staff seem to enjoy causing 91 year old housebound widow. It is as if your staff training is none existant. #Appalling #Fail @LloydsBank After 4 calls to ""complaints"" I emailed press office, so you have my details for more info.",0
My friend is trying to get to me tonight so I have money to get to the @HSBC_UK to sort out this nightmare. Lesson learned NEVER listen to the advice from your bank …… it gets you into so much trouble. https://t.co/I7OAmKYbBX,0
@NatWest_Help That has not answered my question 🤦🏼‍♂️,0
@NatWest_Help Thank you :),1
Help wanted. I'm looking for email address for senior Lloyds Bank managers/directors. Hours wasted calling them. Three DMs this evening - all different people. Not getting anywhere so only public Tweets now until they respond properly. @LloydsBank @LBGplc @LloydsBankNews #FAIL /1,0
"@LloydsBank Have you sorted out an email address yet for use by ""Customer Service""? If @LloydsBank can't afford an email address Google offer them for free! #FAIL @LBGplc @LloydsBankNews",0
@LloydsBank @LBGplc @LloydsBankNews Or I could go into branch and fill in form! As ICO make clear SAR requests can be made verbally or by social media. Lloyds website is just as bad https://t.co/4Yy83FnhXL as they insist on a form being completed. #FAIL @ICOnews,0
@raz82_ray @RevolutApp Have both. But if you have it on paper you can sell instantly especially on rev,0
@RevolutApp When I click 'Continue' at the bottom nothing happens! https://t.co/3z6jDHR35r,0
