text,sentiment,label
"Thank you @RevolutApp 

Welcome to #SHIBARMY!

BEST APP IF YOU NEVER BEFORE BOUGHT CRYPTO :-) https://t.co/GEFfAfvNFJ",positive,crpyto
"Superb, sobering article on shameful, systemic fraud prevention and customer protection failings @LloydsBank #StopTheScammers  https://t.co/qOJDW2rk3q",negative,fraud
"After many years of only banking with @HSBC_UK , thatâ€™s it. I have had enough. I just wanted to speak to a human but  many hours of internet nonsense &amp; visits in person to my local branch &amp; a parking tkt has given me reason to bid farewell â€¦ Tatty Bye",negative,service - general
Just grabbed another 10â€™000â€™000 $SHIB on that @RevolutApp ðŸš€ðŸš€ https://t.co/FebROUuhif,positive,crpyto
@shibainuart @ShytoshiKusama @RevolutApp Love the Shib and the @RevolutApp #Shiberse #ShibaArmy https://t.co/LRXBKNGx6x,positive,crpyto
"@RevolutApp Being one of the 15 million users of #Revolut that holds #BabyDoge 

When can we expect @BabyDogeCoin to be available on @RevolutApp ðŸ‘€ðŸ•

Yours truly #BabyDogeArmy ðŸ’« https://t.co/o4dNG9TH7m",negative,crpyto
Just caught @RevolutApp storing my card information even after deleting it. @TheFCA do we have something to protect us against this? Against holding our unwanted data? https://t.co/7oyqL2ZPt5,negative,service - digital
$SHIB: Digital Bank Revolut Quietly Brings Shiba Inu to Millions of Users | Cryptoglobe.AMP (amp version) - â€˜Never Settleâ€™ $SHIB- The Best in Your Wallet ðŸ’³ðŸ’³ðŸ’³ðŸ’³ðŸ’³âœ…âœ…âœ…â¦@RevolutAppâ©  https://t.co/q6whLjgXqg,positive,crpyto
@NatWest_Help Can we do this through DM?,neutral,service - general
"@GossipShib @RevolutApp Great job!
To the moon! https://t.co/Pz6YFWjeuf",positive,crpyto
"@NatWest_Help my child trust fund won't let me verify my bank details- it just says 'error try again later', I have tried contacting the help line but was left on hold for 4 hours until eventually they had to close for the night...",neutral,service - digital
@RevolutApp @MRJoseSol Please friends donâ€™t open the account here they are involved with the Haker I lost my money but nobody can help me on the help line if u guys not believe so Iâ€™ll show u the pic I lost 3000â‚¬ but they canâ€™t help https://t.co/jczo4TecDi,negative,crpyto
@DuncanGray @RevolutApp Did any of the free #SHIB promotions pan out?,neutral,crpyto
@RevolutApp @FTC @10TV @hillarylake @DustinFox37 @Forbes @RevolutApp employee tried to fraudulently gain access to my personal bank account routing and account numbers! https://t.co/CpQjlnVNef,negative,service - digital
"@HSBC_UK Just say waiting for nearly 15 minutes for it to ring twice and then nothing. I need to reset my account login, I havenâ€™t got time to call back again as Iâ€™m very busy. Please PM me and Iâ€™ll give you@my number to call https://t.co/dIQAAMXX2r",negative,service - digital
@RevolutApp #LoveYourPetDay  hereâ€™s Virgil https://t.co/ZvXy3AR9L0,neutral,service - digital
"@NatWest_Help hi, so since you have moved to Mastercard your service has been worse https://t.co/2nlSeyDl5R",negative,service - general
"@monzo So close to the perfect user number, SO CLOSE! ðŸ˜© https://t.co/fe8TQeWMMq",positive,general
"Had an email from this address today, is it genuine @HSBC_UK? https://t.co/YLQe1G4Wka",neutral,general
@RevolutApp is it a regulatory requirement to request my private banking account and routing number?? NO! https://t.co/Et8FeSwzKd,neutral,general
"They sent me this e-mail after l got scammed! It didn't help ofc, they had have to tell me this when l told them someone is trying to scam me (scammers use this one,no idea how they know that)! @RevolutBank @RevolutApp #Revolut #fraud #actionfrauduk #scam @metpoliceuk https://t.co/lnHzb4ztUY",negative,fraud
"@RevolutApp metal customer. Same issue as a few weeks ago. Provide all docs for a fast solution like 3 weeks ago. Again left for more than 20 min with no explanation whatsoever and guaranteed ""can you reinstall the app"" answer if CS returns. Frustrating. Time after time https://t.co/MgecjFkibR",negative,service - digital
"@LloydsBank It was through mylostaccount. It was through registered post and I can share the tracking number of it. I sent it to Dormant &amp; Inactive Team, Andover Service Centre, Charlton Place, Andover, SP10 1RE",negative,service - general
"@StinkStopthe @JCBmachines @RedIndustries2 @WalleysQ @BGFinvestments, @HSBC_UK, your investment capital may be at risk. Worth an investigation?",negative,investors
@RegGBlinker @shad1126 @RevolutApp @revolut That's @RevolutApp instead... Soz!,neutral,general
"@eon_next hi my direct debit is due in Monday however @HSBC_UK have cashed cancelled checks, if I donâ€™t get it sorted how can I do my payment? They have left me with no money, but we are in credit with our account with you. Iâ€™m so stressed by it all as they said it was cancelled",negative,service - general
@XRShef Totally awesome - listed at https://t.co/XZiqOXn0B0 . Feel free to send more info #BetterWithoutBarclays @BarclaysUK #ClimateCrisis #FossilBanksNoThanks,negative,activism
"So @NatWest_Help can you explain why I canâ€™t purchase #cryptocurrency with my new debit card you have sent me?? 
#xrp #btc",negative,crpyto
@santanderukhelp how can I stop overdrafts? Am I able to pop in and ask for this or do I have to call in?,neutral,service - general
"@LBGplc A great pity your staff seem to enjoy causing 91 year old housebound widow. It is as if your staff training is none existant. #Appalling #Fail @LloydsBank After 4 calls to ""complaints"" I emailed press office, so you have my details for more info.",negative,service - general
@santanderukhelp Please change it so its right for the basic account.,neutral,general
"@HalifaxBank Hi Laura. I'm sure it was my mum so I'll ask her tomorrow and get back to you. The account is in my name but I've no idea how it's linked to my identity other than by name. I have the account number etc, and I get sent the statements.",negative,service - general
"Revolut Lets Users Book Trips Now, Pay Later | @pymnts  / @NStoronsky / @vyatsenko / @RevolutApp
https://t.co/y88uoVM2JA",positive,service - general
"@LBGplc @LloydsBank widow should have been followed by ""alarm and distress"". Suggesting things like downloading mobile app is just plain stupid. Breach of Equalities Act perhaps?",negative,service - general
My friend is trying to get to me tonight so I have money to get to the @HSBC_UK to sort out this nightmare. Lesson learned NEVER listen to the advice from your bank â€¦â€¦ it gets you into so much trouble. https://t.co/I7OAmKYbBX,negative,service - general
@BarclaysUK whatâ€™s the point in blue rewards now? Pay Â£5 to be given back Â£5 ðŸ˜‚ðŸ˜‚ðŸ˜‚ Canny way to treat loyalty,negative,service - general
"@JamesDelingpole @LloydsBank So, now we canâ€™t buy what we want?",negative,crpyto
@HSBC_UK @LorBlossom @HSBC_UK - Could you tell me on which savings accounts will the rates increase and by how much exactly?,neutral,inquiry
@NatWest_Help Thank you :),neutral,general
@LloydsBank If the card is delivered and its a cashpoint card will I have to wait before going to the bank?,neutral,inquiry
@Wise @monzo You will look  like this if you use Wise.,neutral,general
@NatWest_Help Yeah nice one! ðŸ‘ðŸ¼ I like being on hold for best part of the day. ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»,negative,service - general
".
@BorisJohnson has made London the biggest money-laundering center in the world he will not rock the boat
for the banksters who are making big profits 

just look at @BarclaysUK profit increase during covid
. https://t.co/vQQCTCJaee",negative,activism
