text,sentiment,label
Just grabbed another 10’000’000 $SHIB on that @RevolutApp 🚀🚀 https://t.co/FebROUuhif,positive,crpyto
"@shibainuart @RevolutApp Don’t lie!! You love BONE and LEASH, we all know!! You just wanna use us !",positive,general
@shibainuart @RevolutApp No war,negative,activism
@RevolutApp works perfect… thanks @RevolutApp #SHIBARMY https://t.co/NPe1wUtCJK,positive,crpyto
"@NatWest_Help my child trust fund won't let me verify my bank details- it just says 'error try again later', I have tried contacting the help line but was left on hold for 4 hours until eventually they had to close for the night...",negative,service - general
@RevolutApp #LoveYourPetDay  here’s Virgil https://t.co/ZvXy3AR9L0,positive,general
"@monzo So close to the perfect user number, SO CLOSE! 😩 https://t.co/fe8TQeWMMq",positive,general
@HSBC_UK @mouthwaite I’m still waiting….. https://t.co/saHsDpXfLO,negative,service - general
@DavidDo28846484 @monzo No one falls for this shit.,negative,service - general
"@LloydsBank - I am an Indian citizen, was in Newcastle, UK in the year 2011-2012. My account got dormant and I am not finding any way to take my hard earned money back. 5 months back I sent all my docs to dormacy address but still no action.",negative,service - general
@RegGBlinker @shad1126 @RevolutApp @revolut That's @RevolutApp instead... Soz!,positive,general
"@TheFreds @JamesDelingpole @LloydsBank @StarlingBank Unless you are already on a GCH* watch list, then I'm afraid you are person non grata 🙃",neutral,inquiry
"@eon_next hi my direct debit is due in Monday however @HSBC_UK have cashed cancelled checks, if I don’t get it sorted how can I do my payment? They have left me with no money, but we are in credit with our account with you. I’m so stressed by it all as they said it was cancelled",negative,service - general
"How on earth has the @HSBC_UK banking app not been fixed yet? Its been nearly three weeks.

And now the telephone banking system is kicking me off when I try to check my balance. How am supposed to manage my finances like this?",negative,service - digital
@santanderukhelp Please change it so its right for the basic account.,negative,service - general
".
@BorisJohnson has made London the biggest money-laundering center in the world he will not rock the boat
for the banksters who are making big profits 

just look at @BarclaysUK profit increase during covid
. https://t.co/vQQCTCJaee",negative,activism
Genuinely shocked at @PayPal this evening. My daughter is trying to report a fraudulent transaction and this is what she got. Rang @NatWest_Help to get the transaction stopped at their end and their fraud department said they couldn’t help and cut her off. https://t.co/Q3NrW1dc9n,negative,fraud
@LloydsBank I have no onfidence or trust in you to send details by DM. It would also be a very long DM. Your press office have my email so I suggest you call them to discuss. Otherwise it will be media release at 9am on multiple failures. @LBGplc @LloydsBankBiz @LloydsBankNews,negative,service - general
@HSBC_UK @sarwarahmed82 I am sure if you speak with the local branch they would have a money box for you to have,positive,service - general
.@LloydsBank must be the worst bank in the UK. Seems to specialise in causing harm and distress to elderly and disabled. https://t.co/MErmthZepL,negative,general
"@trish34139020 @JamesDelingpole @LloydsBank I know people who have been closed down by Natwest, Barclays, Lloyds, Santander. And the challenger banks that I am aware of are not able to get remittances from exchanges",negative,crpyto
@Wise @monzo It's scam and froud company they keep money and don't trust on this company go on YouTube and check alot people crying because of this service if anyone need proof message me its fake website,negative,service - general
"@cryptomeddler @cryptocom @RevolutApp Once again, thank you! It worked perfectly!!",positive,service - general
"How do you reaffirm positivity in your daily routine? 

Some have vision boards, affirmation cards, daily devotion books. When @RevolutApp offered personalised cards, I jumped at the chance to put my favourite affirmation. 

“Money comes to me, whether I work for it or not” 💫 https://t.co/vN5zZD2ieR",positive,general
"Recent advert.
Are all those phones with people? I wonder... if any of those addicts will eventually have anything like healthy and productive interactions with other human beings? Or will their lives simply be one long dysfunctional interface Deus Ex-Machina @LloydsBank? https://t.co/nUoVJJP2A2",negative,service - digital
"Pls RT @LloydsBank @LBGplc @LloydsBank Worst bank in UK? ""We specialise in causing harm and distress to elderly and disabled."" Telling 91 year old housebound widow to ""sign up for mobile app"" is beyond believe.",negative,service - general
@monzo Thank you thats great 👍 😊,positive,service - general
@RevolutApp Next payday i will not have to wait for your due to the camera in the office at your desk and then the first MC1 of my head,neutral,service - general
@RevolutApp Next payday I will have to pay the bill for the insurance money and then I can sign up for the insurance money 💰,neutral,service - general
@CraigFoster13 @monzo I doubt this is as clear cut as that,negative,service - general
The Orchard will be joining the #letgirlsplay @BarclaysUK @England. We would would love an inspirational message from a local hero @frankirby to inspire our girl footballers!,positive,service - general
@Pete4pool @RevolutApp Want to try again in English?,negative,service - general
@Parasolmrktg @JohnnyGibbon5 @WWF @LloydsBank @wwf_uk @LloydsBankBiz @LBFEW Come on @LloydsBank get in touch!,positive,service - general
"@HalifaxBank hello, I got a text the other day saying you blocked a payment (I didn’t authorise it so well done) and then got a phone call, but was late and I didn’t call the fraud number. Now I can’t use my card online. Any help please? 🙃",negative,fraud
@HalifaxBank Thank you,positive,service - general
"So, Hi @LloydsBank why do think your customers should tolerate being lied to, or, if you don't, how do you suggest your customers react when you do lie to them?",negative,service - general
Pleased to be leaving @LloydsBank - who knew it would be like breaking up with a scornful lover who won’t leave you alone (in the context of making it extremely difficult to close an account).,negative,service - general
@LloydsBank Tried that and naturally it worked 🤦🏽‍♀️ Thanks 😊,positive,service - general
@RevolutApp STOP all Russian and Belarussian accounts now!,negative,activism
@Richard84258557 @monzo If you have any problem concerning internet call on  MAX_WEB2 on Instagram and you can also reach him on whatsapp 👉👉+1 (785)- 553 5078. he is a computer wizard.,neutral,service - general
@HalifaxBank It shows 5pm next working day which is tomorrow.,neutral,service - general
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance @WalletConnect What's on their roadmap

🔹 Making Labs more broadly accessible
🔹 Core protocol changes next week — base APY and $GRO tokenomics
🔹 Innovative approaches on how fiat can be managed
🔹 Will be publishing their roadmap https://t.co/YbWNPuLnbQ",neutral,crpyto
@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance @WalletConnect 🔹 The community has requested features enabling higher short-term rewards if they do not want to vest (e.g. option to get 30% of rewards and give up 70% to other token holders),neutral,crpyto
